vd;x;y;z
16,564;11,960;12,939;13,175
17,563;12,704;12,917;16,413
24,982;10,052;23,741;21,216
24,952;12,381;22,947;22,485
23,564;11,326;22,022;21,739
39,303;17,683;36,995;39,494
35,690;15,974;31,646;30,568
18,397;10,550;17,070;17,870
22,413;14,618;18,775;22,984
23,412;11,963;22,726;20,175
21,365;10,762;21,505;20,150
16,208;9,929;14,426;16,094
16,040;8,296;15,342;14,855
51,675;14,308;49,883;45,151
27,795;19,818;23,596;26,367
19,156;4,992;19,049;17,556
28,763;14,892;35,135;27,660
37,905;15,705;41,954;36,916
37,084;22,463;34,115;31,267
39,121;20,105;38,356;35,411
42,747;19,236;46,070;35,687
47,953;22,681;58,341;39,475
46,074;17,718;61,251;42,105
46,638;16,634;57,023;37,681
36,444;18,567;39,039;35,857
35,085;18,836;40,326;28,513
36,651;19,032;36,030;31,553
34,439;17,751;39,834;30,909
43,501;34,394;26,321;48,387
44,525;17,158;43,789;34,843
40,732;26,565;27,836;33,033
49,066;32,836;36,229;42,194
29,630;19,338;32,234;29,810
46,841;17,170;66,481;38,062
41,700;15,214;65,362;35,821
27,392;17,047;27,119;24,254
37,283;13,403;45,190;34,893
36,953;17,025;38,429;32,126
27,485;13,964;31,041;22,716
40,975;21,130;46,006;41,096
28,525;12,088;32,618;26,682
25,322;10,222;25,864;27,335
23,847;11,016;27,352;27,460
12,318;15,291;5,233;10,178
12,728;12,286;6,496;11,574
26,797;10,708;28,466;24,837
25,436;10,988;26,712;23,171
8,840;6,265;6,157;7,052
9,263;6,527;5,217;7,964
24,687;17,267;23,298;21,272
22,884;15,063;19,228;22,758
31,385;19,279;26,788;29,412
30,511;24,065;28,714;25,830
23,592;12,638;22,940;23,098
19,284;9,265;18,278;15,942
28,840;15,765;18,138;29,851
16,077;8,471;10,330;15,588
22,485;13,639;13,777;19,965
19,774;12,041;17,541;19,746
28,454;21,042;15,365;25,210
13,216;7,778;7,784;13,473
21,160;11,045;16,672;19,120
